layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
12,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.726959228515625,0.6465787941956792,0.8036042846027684,576,144
12,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.6031155545222041,0.5521241901509043,0.6498648221212666,525,144
12,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.47389805169753085,0.4109541430483595,0.5418841965570481,576,144
12,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.6596386316872429,0.602445786959415,0.7191744237094954,576,144
12,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.5314762779639035,0.40448271231256383,0.6521333166810866,525,144
12,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.7209625244140625,0.6473097820636098,0.7967674110634132,576,144
12,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.5187601720530111,0.4723661423217145,0.5676265902490442,525,144
12,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.46659191743827155,0.4052348149845119,0.5311752113125952,576,144
12,residual,incentive_sign_q05,objective incentive sign,all,0.8551311728395062,0.8071683072572722,0.8996790351087893,576,144
12,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.6046687560791095,0.48993529691489146,0.7038284707224643,525,144
12,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.733123779296875,0.6689432559148902,0.7985618490772163,576,144
12,residual,literal_J_choice,literal J/P choice control,pure,0.992400023250407,0.9804510706147507,1.0,525,144
12,residual,stimulus_control,strategically inert payoff control,all,0.5519989390432098,0.4980855048472254,0.6056492499869903,576,144
15,router_gate,incentive_sign_q05,objective incentive sign,all,0.8588863168724279,0.8143491651088882,0.9027961112238455,576,144
15,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6510320976980438,0.54379270647653,0.7413295155277084,525,144
15,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.792327880859375,0.7278295476431219,0.855908105526161,576,144
15,router_gate,literal_J_choice,literal J/P choice control,pure,0.9835648686352012,0.9698104775922368,0.9940858582707783,525,144
15,router_gate,stimulus_control,strategically inert payoff control,all,0.5759669174382716,0.5202636701374062,0.6347110057102898,576,144
15,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6139274691358025,0.5493115441741212,0.6732197004909785,576,144
15,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.41862098778774454,0.3199633077795028,0.5286060526528304,525,144
15,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.648590087890625,0.5652889615367584,0.7399827968136133,576,144
