model,layer,depth_frac,auc,lo,hi,auc_gain_over_embedding,row_scope,n_obs,n_games
llama31_instruct,64,0.8,0.8260876369327074,0.7809779984934789,0.8660247225866419,0.4077151799687011,parsed_generated_choice,576,144
llama31_instruct,65,0.8125,0.8264632237871674,0.7810170425402803,0.8671697586948252,0.40809076682316114,parsed_generated_choice,576,144
llama31_instruct,66,0.825,0.8253051643192488,0.780908176607796,0.8657580072984851,0.40693270735524256,parsed_generated_choice,576,144
llama31_instruct,67,0.8375,0.827057902973396,0.7806926434822522,0.8678724321686657,0.4086854460093897,parsed_generated_choice,576,144
llama31_instruct,68,0.85,0.8204381846635367,0.7734852373327756,0.8610492157123029,0.4020657276995304,parsed_generated_choice,576,144
llama31_instruct,69,0.8625,0.8245070422535211,0.7781819492403435,0.8658780286765346,0.40613458528951485,parsed_generated_choice,576,144
llama31_instruct,70,0.875,0.8233176838810641,0.7764246123675144,0.8643972759769779,0.4049452269170578,parsed_generated_choice,576,144
llama31_instruct,71,0.8875,0.8226917057902974,0.7740179344465058,0.8646684740097061,0.4043192488262911,parsed_generated_choice,576,144
llama31_instruct,72,0.9,0.8171987480438183,0.7682924518577066,0.8597058739809244,0.39882629107981205,parsed_generated_choice,576,144
llama31_instruct,73,0.9125,0.8120031298904538,0.7638042630926514,0.853289039335106,0.3936306729264475,parsed_generated_choice,576,144
llama31_instruct,74,0.925,0.8073082942097027,0.7572559671434771,0.8494750725665646,0.38893583724569647,parsed_generated_choice,576,144
llama31_instruct,75,0.9375,0.8116588419405321,0.7634637205486791,0.8547185515802719,0.3932863849765258,parsed_generated_choice,576,144
llama31_instruct,76,0.95,0.8099687010954616,0.7637227373808056,0.8520042235054519,0.39159624413145533,parsed_generated_choice,576,144
llama31_instruct,77,0.9625,0.8076995305164321,0.758433291991931,0.8484933042829068,0.3893270735524258,parsed_generated_choice,576,144
llama31_instruct,78,0.975,0.8110172143974961,0.7643900714125675,0.8516266950239074,0.3926447574334898,parsed_generated_choice,576,144
llama31_instruct,79,0.9875,0.7985446009389672,0.7507853292806328,0.8403933644451438,0.3801721439749609,parsed_generated_choice,576,144
llama31_instruct,80,1.0,0.7869953051643193,0.740255030628009,0.8295370288248336,0.368622848200313,parsed_generated_choice,576,144
qwen,0,0.0,0.42886529528865297,0.36501682740750263,0.4968474222790136,0.0,parsed_generated_choice,576,144
qwen,1,0.0125,0.7531667035316669,0.7045205764253384,0.7985714496944144,0.32430140824301396,parsed_generated_choice,576,144
qwen,2,0.025,0.5884833738848337,0.5337721343604678,0.6441198146588996,0.15961807859618077,parsed_generated_choice,576,144
qwen,3,0.0375,0.570345793703458,0.5125362799150227,0.6278930913748788,0.14148049841480498,parsed_generated_choice,576,144
qwen,4,0.05,0.5689154316891544,0.5147801232422425,0.6260538474462365,0.1400501364005014,parsed_generated_choice,576,144
qwen,5,0.0625,0.5593010395930104,0.5036306642847078,0.619026557108461,0.1304357443043574,parsed_generated_choice,576,144
qwen,6,0.075,0.5578706775787068,0.5016552437493477,0.6162650473615123,0.12900538229005382,parsed_generated_choice,576,144
qwen,7,0.0875,0.5688122096881222,0.5132035803812984,0.6304067253508894,0.1399469143994692,parsed_generated_choice,576,144
qwen,8,0.1,0.5617783676177837,0.5038170521540688,0.6283156410094992,0.1329130723291307,parsed_generated_choice,576,144
qwen,9,0.1125,0.5778220157782201,0.5148431001592446,0.6356281385136336,0.14895672048956715,parsed_generated_choice,576,144
qwen,10,0.125,0.5515593895155939,0.489914273550868,0.6139669637188653,0.12269409422694094,parsed_generated_choice,576,144
qwen,11,0.1375,0.5424758534247585,0.4850069640896145,0.6007567340487368,0.11361055813610549,parsed_generated_choice,576,144
qwen,12,0.15,0.5465752414657524,0.4885354526198828,0.6085720609626287,0.11770994617709946,parsed_generated_choice,576,144
qwen,13,0.1625,0.5477844134778441,0.48939877528592535,0.611301215090856,0.11891911818919115,parsed_generated_choice,576,144
qwen,14,0.175,0.4953328909533289,0.4368124179471298,0.5556748099924385,0.06646759566467592,parsed_generated_choice,576,144
qwen,15,0.1875,0.48683919486839194,0.43148435512454425,0.5425616645894933,0.057973899579738974,parsed_generated_choice,576,144
qwen,16,0.2,0.4858954508589545,0.43066206537301405,0.5406482406364984,0.057030155570301555,parsed_generated_choice,576,144
qwen,17,0.2125,0.4648381626483816,0.4132951640409635,0.5208074656843078,0.035972867359728655,parsed_generated_choice,576,144
qwen,18,0.225,0.40324412003244126,0.34673746128539723,0.462631018163157,-0.025621175256211715,parsed_generated_choice,576,144
qwen,19,0.2375,0.438914694389147,0.38116757311472266,0.49946731443995485,0.010049399100494016,parsed_generated_choice,576,144
qwen,20,0.25,0.4916021529160216,0.4349208792879147,0.5503744190733627,0.06273685762736864,parsed_generated_choice,576,144
qwen,21,0.2625,0.506716803067168,0.45122854060695294,0.561991291734331,0.07785150777851507,parsed_generated_choice,576,144
qwen,22,0.275,0.5067315490673154,0.4496838265856556,0.5681137303447268,0.07786625377866246,parsed_generated_choice,576,144
qwen,23,0.2875,0.5410602374106024,0.48695457270553755,0.5969744768857908,0.11219494212194941,parsed_generated_choice,576,144
qwen,24,0.3,0.5082946250829463,0.45623474763575866,0.5618186752282213,0.07942932979429335,parsed_generated_choice,576,144
qwen,25,0.3125,0.5102853351028533,0.4556212448868515,0.5671612561799273,0.08142003981420037,parsed_generated_choice,576,144
qwen,26,0.325,0.5123497751234978,0.45887373215993343,0.5697225094124351,0.0834844798348448,parsed_generated_choice,576,144
qwen,27,0.3375,0.5079259750792597,0.4536862765593228,0.5708774450506241,0.07906067979060677,parsed_generated_choice,576,144
qwen,28,0.35,0.515018801150188,0.45915052594043354,0.5773149081406923,0.08615350586153508,parsed_generated_choice,576,144
qwen,29,0.3625,0.5064218830642189,0.4486978885023352,0.5716024439772148,0.0775565877755659,parsed_generated_choice,576,144
qwen,30,0.375,0.5130870751308707,0.4551754623548159,0.5777334337814436,0.08422177984221774,parsed_generated_choice,576,144
qwen,31,0.3875,0.5202388852023889,0.4631690264758385,0.5821242241291108,0.09137358991373595,parsed_generated_choice,576,144
qwen,32,0.4,0.5280247732802478,0.4742511689345504,0.5864067779882773,0.0991594779915948,parsed_generated_choice,576,144
qwen,33,0.4125,0.5209024552090246,0.46651619376717035,0.5820248193472682,0.09203715992037159,parsed_generated_choice,576,144
qwen,34,0.425,0.5540809555408095,0.4985543317812528,0.6154858070536467,0.12521566025215652,parsed_generated_choice,576,144
qwen,35,0.4375,0.5517805795178058,0.4960692768213043,0.6120618168017261,0.12291528422915282,parsed_generated_choice,576,144
qwen,36,0.45,0.5364299933643,0.48042504691730464,0.5982496871248691,0.107564698075647,parsed_generated_choice,576,144
qwen,37,0.4625,0.5521787215217872,0.49157318116499105,0.6164617430095217,0.12331342623313418,parsed_generated_choice,576,144
qwen,38,0.475,0.5573840595738405,0.49808508086982,0.6220264664929173,0.12851876428518755,parsed_generated_choice,576,144
qwen,39,0.4875,0.5361203273612032,0.4737867229780734,0.6002510318603815,0.10725503207255022,parsed_generated_choice,576,144
qwen,40,0.5,0.5416500774165008,0.4833015717449977,0.603999427895218,0.11278478212784787,parsed_generated_choice,576,144
qwen,41,0.5125,0.5456609894566099,0.48580578025489146,0.6091545013739479,0.11679569416795693,parsed_generated_choice,576,144
qwen,42,0.525,0.5590503575905036,0.4990988160592382,0.6211619668528332,0.13018506230185062,parsed_generated_choice,576,144
qwen,43,0.5375,0.5448647054486471,0.4872390058803858,0.6050262201015203,0.1159994101599941,parsed_generated_choice,576,144
qwen,44,0.55,0.5421661874216619,0.47803264295042125,0.6056256636070888,0.11330089213300892,parsed_generated_choice,576,144
qwen,45,0.5625,0.5544201135442012,0.4929327123512489,0.6181099076031049,0.1255548182555482,parsed_generated_choice,576,144
qwen,46,0.575,0.5539482415394824,0.4945473234469371,0.6156333119457356,0.12508294625082944,parsed_generated_choice,576,144
qwen,47,0.5875,0.5486691734866918,0.48544602129351105,0.6110348869789969,0.11980387819803878,parsed_generated_choice,576,144
qwen,48,0.6,0.5475337314753375,0.4830987215659149,0.6104169323007149,0.11866843618668449,parsed_generated_choice,576,144
qwen,49,0.6125,0.5491705374917054,0.4895272607990906,0.6059385935285472,0.12030524220305244,parsed_generated_choice,576,144
qwen,50,0.625,0.5509105655091057,0.48258126194696366,0.6134322493437908,0.1220452702204527,parsed_generated_choice,576,144
qwen,51,0.6375,0.5476664454766644,0.4897959606087419,0.6030282127815915,0.11880115018801146,parsed_generated_choice,576,144
qwen,52,0.65,0.5683108456831085,0.5111119670386416,0.6232235319909568,0.13944555039445555,parsed_generated_choice,576,144
