layer,feature_set,target,scope,objective_baseline_auc,objective_baseline_auc_lo,objective_baseline_auc_hi,augmented_auc,augmented_auc_lo,augmented_auc_hi,logloss_improvement,logloss_improvement_lo,logloss_improvement_hi,objective_baseline_logloss,augmented_logloss,n,n_games
1,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7963714599609375,0.729957362182125,0.8608012983752215,0.018130762303927128,-0.008552830114337403,0.04343785695183792,0.3169632981403417,0.29883253583641456,576,144
1,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.682403564453125,0.5910162903746472,0.7755649590452267,-0.13383785788313957,-0.2196638967786985,-0.04822005243522343,0.3169632981403417,0.45080115602348125,576,144
3,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.803680419921875,0.7442260636436807,0.8629142159971791,-0.03052326797551047,-0.09603500031809485,0.02343947162090708,0.3169632981403417,0.34748656611585216,576,144
3,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7742919921875,0.7026362997157474,0.8493611638181876,0.015406934221608826,-0.016818413149399684,0.04755016526990486,0.3169632981403417,0.30155636391873286,576,144
3,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.77825927734375,0.7087649530895138,0.8506010295865761,0.015985812709950697,-0.016398667305219588,0.04727849346204591,0.3169632981403417,0.300977485430391,576,144
3,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.779541015625,0.706780699538325,0.8456949103199748,-0.07824481335914019,-0.1554072457106554,-0.010279903668743892,0.3169632981403417,0.3952081114994819,576,144
6,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.82733154296875,0.7626834017931922,0.887242898539882,0.029004792761009868,-0.010168850796731618,0.06595129262668491,0.3169632981403417,0.2879585053793318,576,144
6,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7886962890625,0.7200812184680021,0.8542008252164504,0.019672583029788915,-0.008495060553672532,0.04741518873077613,0.3169632981403417,0.2972907151105528,576,144
6,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.79345703125,0.7253893693482548,0.856507871998772,0.023358181984970694,-0.004422562330669053,0.05220490810933598,0.3169632981403417,0.293605116155371,576,144
6,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.780731201171875,0.7154380478041061,0.8398400914719302,-0.09193377358251514,-0.178228883676747,-0.023233458972387693,0.3169632981403417,0.40889707172285683,576,144
9,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.788818359375,0.7286499323342757,0.848818534074439,-0.03809734159624906,-0.0912980613867241,0.008466161945130819,0.3169632981403417,0.35506063973659074,576,144
9,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.74322509765625,0.6629457246420052,0.8207271347367967,-0.012267871924418194,-0.05001933798122618,0.022954866982621815,0.3169632981403417,0.3292311700647599,576,144
9,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.7339019775390625,0.6539490995155679,0.811715472359471,-0.016426364775437408,-0.05537486714827125,0.020405376636248487,0.3169632981403417,0.3333896629157791,576,144
9,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.760711669921875,0.6954470326349825,0.8201748296382947,-0.169645204363926,-0.27542166682636154,-0.08080081922001218,0.3169632981403417,0.4866085025042677,576,144
12,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.76373291015625,0.6926930978854966,0.8309878844361602,-0.025384260826305738,-0.07505978233154634,0.01750413062977575,0.3169632981403417,0.3423475589666474,576,144
12,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.81451416015625,0.748201538644131,0.8766198261963053,0.02973849584086735,0.002406349768571108,0.057567711031714666,0.3169632981403417,0.28722480229947434,576,144
12,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.8136138916015625,0.7499898292883151,0.8756304827870267,0.02902726479785156,-0.0007513067651563702,0.057056878547768086,0.3169632981403417,0.2879360333424901,576,144
12,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.733489990234375,0.6640609980558352,0.8055740451412393,-0.12692466084606935,-0.23012301640976002,-0.03252377891267245,0.3169632981403417,0.44388795898641104,576,144
15,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.8154296875,0.7511632962956376,0.8728018463793645,0.016774754934478553,-0.023511372927606362,0.05699564275934256,0.3169632981403417,0.30018854320586313,576,144
15,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.8023681640625,0.7351853493586026,0.8643087197652486,0.026283974561580548,-0.0005185383694911129,0.05147622570561025,0.3169632981403417,0.29067932357876114,576,144
15,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.785858154296875,0.7175565284102873,0.8486539254146552,0.026663106052477736,0.0010246922003766263,0.05230498304634783,0.3169632981403417,0.29030019208786395,576,144
15,residual,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.803497314453125,0.749395037874431,0.8537382818914038,-0.13567102931887226,-0.23930350240604525,-0.04469984906283059,0.3169632981403417,0.45263432745921395,576,144
18,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.796905517578125,0.7232426824763334,0.8618767535408851,0.004452825591096776,-0.04112772217213472,0.04564472765751122,0.3169632981403417,0.3125104725492449,576,144
18,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.80908203125,0.7437537864098109,0.8674590079513289,0.028617607295712888,0.0010741989258650777,0.056213836723786874,0.3169632981403417,0.2883456908446288,576,144
18,router_topk_binary,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.807373046875,0.7442194539089111,0.8650288881014119,0.028999444691465093,0.0019250945060694017,0.05592992022723374,0.3169632981403417,0.2879638534488766,576,144
