game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
CoAs,-0.0327383030449815,-0.16703098815792594,-0.1645381288355055,0.16181149089486435,0.13429268511294443,1078.5,0.5,1.0,1.0,-0.6035533905932737,2,2,6.984253249954862
CoBa,-0.11959039389450907,-0.11493599177702213,-0.16880409303232385,-0.1750476333129674,-0.004654402117486939,993.0,0.5,1.0,1.0,0.4523559099123697,2,0,6.901737206656574
CoCh,0.059517284131843595,0.08158761494049589,0.057922366628640795,0.018434460369788144,-0.02207033080865231,739.5,0.25,0.6666666666666666,1.0,0.1059457483985941,2,0,6.607325633707854
CoCm,0.20124295123098213,-0.087169539451119,-0.08197399042776023,0.15684809360476823,0.2884124906821011,423.0,0.0,1.0,1.0,0.5098945387370066,1,1,6.049733455231958
CoCo,-0.0832265570974099,0.004935378002210389,0.010590733513411735,-0.13227003142773758,-0.0881619350996203,979.0,0.5,1.0,1.0,-0.5169508502148299,2,2,6.887552571664617
CoDl,0.2952755075070073,-0.0809302140811329,-0.04225976958242736,0.42965752233930443,0.3762057215881402,441.0,0.0,1.0,1.0,0.1634843772232312,1,1,6.091309882077698
CoHa,-0.2321391664110805,0.06800933501973516,0.037391001492988296,-0.1577539359200707,-0.3001485014308157,437.0,0.0,1.0,1.0,0.1634843772232312,1,1,6.082218910376446
CoHr,-0.1604749088007529,0.005352027805838266,-0.016045864996375267,-0.32915804037193724,-0.16582693660659117,1204.5,0.5,1.0,1.0,0.5678259637502947,2,0,7.094649697621226
CoNc,-0.3299640118118592,0.08968651695517235,0.10496279889820925,-0.4625734724288383,-0.41965052876703157,356.0,0.0,0.25,1.0,0.048014323385306,1,1,5.877735781779639
CoPc,0.07022335533471141,0.1290277979097914,0.12698534100685213,-0.08828036514829421,-0.058804442575079996,316.0,0.0,1.0,1.0,0.048014323385306,1,1,5.75890177387728
CoPd,0.1922052376073741,-0.1472478255109946,-0.14152527969663067,0.1585594271121945,0.3394530631183687,379.0,0.0,1.0,1.0,0.048014323385306,1,1,5.940171252720432
CoSh,-0.1472036302051981,0.007349549299603478,0.028727605581198315,-0.167221441788725,-0.15455317950480157,456.0,0.25,0.3333333333333333,1.0,-0.5169508502148299,2,2,6.124683390894205
DlAs,0.4342065446076953,0.07370561064674044,0.05007182010453237,0.4998480768707851,0.36050093396095484,251.5,0.0,1.0,2.0,0.0384900179459749,1,1,5.531411248715415
DlBa,0.46678067030093506,0.187072782681892,0.2235324900378804,0.49977556639957377,0.279707887619043,271.5,0.0,1.0,2.0,0.0384900179459749,1,1,5.607638614103299
DlCh,0.38555599907925364,0.20642685717146944,0.18218344086889715,0.3048851929346376,0.17912914190778423,270.0,0.0,1.0,2.0,0.2694301256218253,1,1,5.602118820879701
DlCm,0.40304261432215394,0.09754697953910166,0.10844751213338065,0.4970866303369549,0.3054956347830523,304.5,0.0,1.0,2.0,0.0384900179459749,0,1,5.72194977861165
DlCo,0.4292212342744935,0.1497691165109207,0.13633407357646146,0.42165482558980194,0.2794521177635728,369.0,0.0,1.0,2.0,-0.3079201435678004,1,1,5.91350300563827
DlDl,0.34346113133903544,0.09754697953910166,0.08867725921449693,0.4728402194465763,0.2459141517999338,360.0,0.0,1.0,2.0,0.2694301256218253,0,1,5.8888779583328805
DlHa,0.39056276300921267,0.15886943659284178,0.16750232454359276,0.48920510160562536,0.2316933264163709,319.5,0.0,1.0,2.0,-0.1924500897298753,0,1,5.7698822763607245
DlHr,0.4262108803405001,0.19805135353117684,0.20558520542850972,0.486470038143546,0.22815952680932325,253.5,0.0,1.0,2.0,-0.0769800358919501,1,1,5.539300835990577
DlNc,0.42144716246602476,0.11679898215150805,0.08142450336599602,0.494436619220742,0.3046481803145167,305.5,0.0,1.0,2.0,0.1539600717839002,0,1,5.725217755376266
DlPc,0.4780122350543883,0.24336456658042488,0.2578100710456164,0.4999021841135032,0.23464766847396337,256.5,0.0,1.0,2.0,-0.4233901974057255,0,1,5.551019720103791
DlPd,0.28606595686767067,0.12312914926962848,0.13920746052886096,0.45140193475222024,0.1629368075980422,403.0,0.0,1.0,2.0,0.3849001794597504,0,1,6.0014148779611505
DlSh,0.46995652151933964,0.14462991605309555,0.11552087303283397,0.4993001038694165,0.3253266054662441,281.0,0.0,1.0,2.0,0.2694301256218253,1,1,5.641907070938114
HaAs,0.47389235556658804,0.19948672601604656,0.2143017799543341,0.49984982069418626,0.2744056295505415,218.5,0.0,1.0,2.0,-0.4233901974057255,1,1,5.391352232515226
HaBa,0.408475012190526,0.2947570719541479,0.28760573883754414,0.4901320961350456,0.11371794023637807,319.0,0.0,1.0,2.0,-0.4233901974057255,1,1,5.768320995793772
HaCh,0.473925898565228,0.21972067088770356,0.20696603064355934,0.49820215181586336,0.2542052276775244,325.0,0.0,1.0,2.0,-0.6543303050815759,1,1,5.786897381366708
HaCm,0.4440798153411787,0.15782320207515352,0.17245249134656793,0.4999461668377881,0.2862566132660252,180.0,0.0,1.0,2.0,0.0384900179459749,0,1,5.198497031265826
HaCo,0.45704644689683604,0.1750787594125821,0.1724774698278277,0.4980103909601612,0.28196768748425394,184.5,0.0,1.0,2.0,-0.3079201435678004,1,1,5.22305488204749
HaDl,0.4395271583931889,0.1501752113338169,0.19388385285673582,0.49995794723031745,0.289351947059372,214.5,0.0,1.0,2.0,-0.1924500897298753,0,1,5.372960909543803
HaHa,0.2989049088529821,0.17668513338763175,0.1735686240182211,0.48358746695621146,0.12221977546535034,299.5,0.0,1.0,2.0,-0.6543303050815759,0,1,5.705447753975262
HaHr,0.4641676543885299,0.13837964981853218,0.14306525806947298,0.4994053987126863,0.3257880045699978,275.0,0.0,1.0,2.0,-0.0769800358919501,1,1,5.62040086571715
HaNc,0.32428716532727464,0.15206161066979962,0.1324607200976483,0.4801663118864652,0.172225554657475,315.0,0.0,1.0,2.0,-0.7698003589195012,0,1,5.755742213586912
HaPc,0.2873948742543676,0.2151474360936571,0.22194358852649917,0.4864515586828209,0.07224743816071047,238.0,0.0,1.0,2.0,-0.4233901974057255,0,1,5.476463551931511
HaPd,0.3917517729340838,0.24336456658042488,0.23789147506401187,0.494647502855004,0.14838720635365896,222.0,0.0,1.0,2.0,-0.5388602512436508,0,1,5.407171771460119
HaSh,0.4456721611390643,0.1953311795336056,0.20818568698828033,0.49982547062017096,0.2503409816054587,237.5,0.0,1.0,2.0,-0.6543303050815759,1,1,5.474369310328396
HrAs,-0.20783891705378452,-0.08912630025493531,-0.10496435424550432,-0.33031223574117,-0.1187126167988492,829.0,0.75,1.0,1.0,0.68329601758822,2,0,6.721425700790643
HrBa,0.08469950598781614,0.18573064297149153,0.19913089814147333,-0.12409751684079788,-0.10103113698367538,814.5,0.0,1.0,1.0,0.069651690163614,2,2,6.703801422061068
HrCh,-0.07844158193034569,0.2038089477135704,0.17222652570899313,0.09166182203169937,-0.28225052964391606,363.0,0.0,0.75,1.0,0.3294593112989456,2,2,5.8971538676367405
HrCm,0.3055773795144377,-0.04323376274551023,-0.0675885517045307,0.01577114759005384,0.3488111422599479,970.0,0.25,1.0,1.0,0.048014323385306,1,1,6.878326468291325
HrCo,-0.22730883603438629,-0.07713770398441422,-0.09516823855330994,0.0338044707902974,-0.15017113204997207,1207.5,0.5,1.0,1.0,0.5678259637502947,2,0,7.097135200143538
HrDl,0.22509289990418235,-0.1851832337556459,-0.20768422343279033,0.20213969705995632,0.4102761336598283,303.5,0.0,1.0,1.0,0.3944244848990815,1,1,5.718671087149952
HrHa,0.01781513146798222,0.1497691165109207,0.14955503999532843,0.33649571512593623,-0.13195398504293848,300.0,0.0,0.75,1.0,0.3944244848990815,1,1,5.707110264748875
HrHr,-0.14710000488711455,0.07695220836439289,0.0960115708585584,-0.19783872192971896,-0.22405221325150743,702.0,0.25,1.0,1.0,-0.0169508502148298,2,2,6.555356891810665
HrNc,0.061097084050670686,0.08545088439262072,0.04318679747625949,-0.24524051539890082,-0.024353800341950033,303.0,0.0,0.75,1.0,0.5098945387370066,1,1,5.717027701406222
HrPc,-0.09332983666726166,0.07735830318728908,0.07709537271243405,-0.2657403609969386,-0.17068813985455072,558.5,0.25,1.0,1.0,0.5098945387370066,1,1,6.32704352775198
