game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
51,51,124,False,98,21,NcBa,BaNc,Samson,,"2,4,1,3","4,2,1,3","3,2,1,4","3,4,1,2",1,1,0,-1,P51,P124,OD2,OD2,A2,A2,O1,O1,0.687361419,0.323725055,0.687361419,0.6762749450000001,0.8962,0.9084,0,,,,,,
52,52,125,False,125,59,PdCo,CoPd,,Revelation,"1,3,2,4","1,4,3,2","2,4,3,1","4,3,2,1",1,1,1,1,P52,P125,OD2,OD2,A2,A2,O3,O3,0.776053215,0.742793792,0.2239467849999999,0.742793792,0.7673,0.8225,14,0.2676666136307547,0.8286290071681898,0.10910070217978106,0.06850250735963195,94;114;404;445;525;573;579;65;153;159;219;287;325;804,0.09632812454559682
53,53,126,False,123,35,PdCh,ChPd,CalledBluff,,"1,3,2,4","4,3,1,2","2,3,1,4","4,3,2,1",1,1,1,-1,P53,P126,OD1,OD1,A1,A1,O2,O2,0.725055432,0.210643016,0.274944568,0.789356984,0.8485,0.7427,0,,,,,,
54,54,127,False,104,93,NcHr,HrNc,Delilah,,"2,4,1,3","4,1,2,3","3,1,2,4","3,4,1,2",1,1,0,0,P54,P127,OD1,OD1,B1,B1,O1,O1,0.671840355,0.707317073,0.671840355,0.292682927,0.913,0.8722,15,0.7942123650625239,0.28720430658601903,0.0966216795605978,0.11475594891399682,307;316;346;526;598;834;876;896;11;179;204;216;363;489;549,0.12249458815957118
55,55,128,False,121,11,PdAs,AsPd,,Alibi,"1,3,2,4","2,4,3,1","1,4,3,2","4,3,2,1",1,1,1,-1,P55,P128,OD1,OD1,B1,B1,O3,O3,0.645232816,0.388026608,0.3547671839999999,0.388026608,0.9383,0.9635,0,,,,,,
56,56,129,False,132,143,PdSh,ShPd,,AsymDilemma,"1,3,2,4","3,4,2,1","1,4,2,3","4,3,2,1",1,1,1,-1,P56,P129,OD1,OD1,B1,B1,O3,O3,0.671840355,0.403547672,0.328159645,0.403547672,0.913,0.973,0,,,,,,
57,57,57,True,131,131,PdPd,PdPd,PrisonerDilemma,PrisonerDilemma,"1,3,2,4","4,3,2,1","1,3,2,4","4,3,2,1",1,1,1,0,P57,P57,DD,DD,B1,B1,D2,D2,0.678492239,0.678492239,0.321507761,0.321507761,0.906,0.906,3,0.23552123552123547,0.3070947570947571,0.104035248764518,0.052103160157838634,171;215;286,0.08718610695221327
58,58,130,False,60,137,CoSh,ShCo,Asym.Coordination,,"2,4,3,1","3,4,2,1","1,4,2,3","1,4,3,2",2,0,0,-1,P58,P130,CO2,CO2,A2,A2,C,C,0.824833703,0.501108647,0.824833703,0.501108647,0.6694,1.0,0,,,,,,
59,59,131,False,49,5,CoAs,AsCo,PureAssurance,,"2,4,3,1","2,4,3,1","1,4,3,2","1,4,3,2",2,0,0,-1,P59,P131,CO2,CO2,A2,A2,C,C,0.871396896,0.487804878,0.871396896,0.487804878,0.5536,0.9996,0,,,,,,
60,60,60,True,53,53,CoCo,CoCo,Coordination,Coordination,"2,4,3,1","1,4,3,2","2,4,3,1","1,4,3,2",2,0,0,1,P60,P60,CO1,CO1,A1,A1,C,C,0.849223947,0.849223947,0.849223947,0.849223947,0.6118,0.6118,20,0.8687240844215423,0.8597480095837235,0.05833474397375211,0.07826046433289777,92;338;485;553;678;840;895;950;1024;1032;1049;1051;1053;1056;1058;1088;1100;1105;1118;1145,0.022158773718894294
