game_id,unique_id_rowplayer,topology_raw,cardinal_p1_rowplayer,cardinal_p2_rowplayer,ordinal_p1_rowplayer,ordinal_p2_rowplayer,up_choice_rowplayer,up_choice_canonical_rowplayer,canonical_id_rowplayer,swap_sr_rowplayer,swap_sc_rowplayer,unique_id_colplayer,up_choice_colplayer,up_choice_canonical_colplayer,canonical_id_colplayer,swap_sr_colplayer,swap_sc_colplayer,bruns_name_rowplayer_side,nash_count,dominance_level,is_symmetric,bruns_name_colplayer_side,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_lk_type,nagel_emp_class,nagel_rgg_class,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary
184,367,"('peace', 'compromise')","38,10,2,7","7,22,11,18","4,3,1,2","1,4,2,3",0.7894736842105263,0.7894736842105263,112.0,False,True,368,0.068181818,0.068181818,46.0,False,True,PcCm,1,1,False,CmPc,106,31,P106,DD,A1,D3,0.88248337,0.88248337,0.5222
185,369,"('peace', 'dilemma')","22,14,6,12","15,17,7,13","4,3,1,2","3,4,1,2",0.8837209302325582,0.8837209302325582,119.0,False,True,370,0.2903225806451613,0.2903225806451613,130.0,False,True,PcPd,1,1,False,PdPc,30,105,P30,DD,A1,D3,0.875831486,0.875831486,0.5412
186,371,"('hero', 'dilemma')","17,35,46,27","5,12,3,4","1,3,4,2","3,4,1,2",0.5897435897435898,0.5897435897435898,95.0,False,True,372,0.1818181818181818,0.1818181818181818,128.0,False,True,HrPd,1,2,False,PdHr,122,49,P122,OD2,A2,O2,0.66962306,0.3303769399999999,0.9153
188,375,"('compromise', 'compromise')","1,3,46,37","1,32,5,6","1,2,4,3","1,4,2,3",0.1714285714285714,0.1714285714285714,40.0,False,True,376,0.1666666666666666,0.1666666666666666,40.0,False,True,CmCm,1,1,True,CmCm,36,36,P36,DD,A1,D2,0.898004435,0.1019955649999999,0.4753
190,379,"('deadlock', 'peace')","19,1,28,23","37,11,18,12","2,1,4,3","4,1,3,2",0.1428571428571428,0.1428571428571428,70.0,False,True,380,0.9375,0.9375,114.0,False,True,DlPc,1,1,False,PcDl,9,86,P9,DD,A1,D3,0.880266075,0.119733925,0.5286
191,381,"('harmony', 'compromise')","30,24,3,1","4,38,8,36","4,3,2,1","1,4,2,3",0.9534883720930232,0.9534883720930232,76.0,False,True,382,0.0,0.0,43.0,False,True,HaCm,1,1,False,CmHa,19,96,P19,DD,A1,D3,0.900221729,0.900221729,0.4683
192,383,"('harmony', 'harmony')","25,15,10,2","42,5,24,3","4,3,2,1","4,2,3,1",0.9428571428571428,0.9428571428571428,79.0,False,True,384,0.9090909090909092,0.9090909090909092,79.0,False,True,HaHa,1,1,True,HaHa,3,3,P3,DD,A1,D1,0.935698448,0.935698448,0.3443
196,391,"('peace', 'safecoord')","31,3,1,2","32,6,20,21","4,3,1,2","4,1,2,3",0.9130434782608696,0.9130434782608696,113.0,False,True,392,0.8666666666666667,0.8666666666666667,58.0,False,True,PcCo,1,1,False,CoPc,28,103,P28,OD1,A1,O4,0.902439024,0.902439024,0.4612
199,397,"('dilemma', 'concord')","8,1,14,4","32,26,9,2","3,1,4,2","4,3,2,1",0.2972972972972973,0.2972972972972973,129.0,False,True,398,0.902439024390244,0.902439024390244,107.0,False,True,PdNc,1,1,False,NcPd,121,48,P121,DD,A1,D3,0.747228381,0.252771619,0.8156
200,399,"('concord', 'harmony')","23,12,20,10","17,4,9,1","4,2,3,1","4,2,3,1",0.8181818181818182,0.8181818181818182,103.0,False,True,400,0.9230769230769232,0.9230769230769232,81.0,False,True,NcHa,1,1,False,HaNc,79,1,P79,DD,A1,D1,0.917960089,0.917960089,0.4093
204,407,"('hero', 'concord')","1,10,34,9","21,20,14,3","1,3,4,2","4,3,2,1",0.03125,0.03125,93.0,False,True,408,0.8787878787878788,0.8787878787878788,104.0,False,True,HrNc,1,2,False,NcHr,127,54,P127,OD1,B1,O1,0.707317073,0.292682927,0.8722
212,423,"('deadlock', 'concord')","19,15,35,30","33,20,16,2","2,1,4,3","4,3,2,1",0.3157894736842105,0.3157894736842105,69.0,False,True,424,0.9333333333333332,0.9333333333333332,102.0,False,True,DlNc,1,1,False,NcDl,16,93,P16,DD,A1,D3,0.840354767,0.159645233,0.6335
