unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
133,67,rowplayer,"('deadlock', 'leader')",0.0476190476190476,True,"9,4,23,19","11,36,21,11",,,,,,,
134,67,colplayer,"('leader', 'deadlock')",0.6136363636363636,True,"11,21,36,11","9,23,4,19",,,,,,,
135,68,rowplayer,"('peace', 'hero')",0.7777777777777778,True,"10,7,2,5","1,8,8,6",,,,,,,
136,68,colplayer,"('hero', 'peace')",0.0,True,"1,8,8,6","10,2,7,5",,,,,,,
137,69,rowplayer,"('harmony', 'hero')",0.8055555555555556,True,"31,12,12,11","3,21,17,6",,,,,,,
138,69,colplayer,"('hero', 'harmony')",0.217391304347826,True,"3,17,21,6","31,12,12,11",,,,,,,
139,70,rowplayer,"('assurance', 'staghunt')",0.7419354838709677,False,"22,5,9,13","12,11,4,7","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.7419354838709677
140,70,colplayer,"('staghunt', 'assurance')",0.6216216216216216,False,"12,4,11,7","22,9,5,13","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.6216216216216216
141,71,rowplayer,"('hero', 'peace')",0.1333333333333333,True,"3,10,10,8","24,4,12,9",,,,,,,
142,71,colplayer,"('peace', 'hero')",0.7272727272727273,True,"24,12,4,9","3,10,10,8",,,,,,,
143,72,rowplayer,"('compromise', 'safecoord')",0.066666667,False,"1,2,12,8","19,2,5,10","1,2,4,3","4,1,2,3",41.0,False,True,P1,0.066666667
144,72,colplayer,"('safecoord', 'compromise')",0.7,False,"19,5,2,10","1,12,2,8","4,2,1,3","1,4,2,3",52.0,False,True,P1,0.7
145,73,rowplayer,"('compromise', 'staghunt')",0.2631578947368421,False,"1,3,18,7","31,22,6,7","1,2,4,3","4,3,1,2",48.0,False,True,P1,0.2631578947368421
146,73,colplayer,"('staghunt', 'compromise')",0.5757575757575758,False,"31,6,22,7","1,18,3,7","4,1,3,2","1,4,2,3",136.0,False,True,P1,0.5757575757575758
147,74,rowplayer,"('assurance', 'staghunt')",0.7941176470588235,True,"35,2,2,31","29,24,1,13",,,,,,,
148,74,colplayer,"('staghunt', 'assurance')",0.3666666666666666,True,"29,1,24,13","35,2,2,31",,,,,,,
149,75,rowplayer,"('peace', 'chicken')",0.925925925925926,False,"12,10,2,3","8,27,2,1","4,3,1,2","3,4,2,1",111.0,False,True,P1,0.925925925925926
150,75,colplayer,"('chicken', 'peace')",0.2058823529411764,False,"8,2,27,1","12,2,10,3","3,2,4,1","4,1,3,2",34.0,False,True,P1,0.2058823529411764
151,76,rowplayer,"('chicken', 'concord')",0.5526315789473685,False,"14,10,28,6","16,8,4,2","3,2,4,1","4,3,2,1",33.0,False,True,P1,0.5526315789473685
152,76,colplayer,"('concord', 'chicken')",0.9285714285714286,False,"16,4,8,2","14,28,10,6","4,2,3,1","3,4,2,1",99.0,False,True,P1,0.9285714285714286
153,77,rowplayer,"('dilemma', 'peace')",0.1785714285714285,False,"11,3,37,8","30,18,26,19","3,1,4,2","4,1,3,2",130.0,False,True,P1,0.1785714285714285
154,77,colplayer,"('peace', 'dilemma')",0.902439024390244,False,"30,26,18,19","11,37,3,8","4,3,1,2","3,4,1,2",119.0,False,True,P1,0.902439024390244
155,78,rowplayer,"('concord', 'deadlock')",0.813953488,False,"35,21,23,1","7,25,4,8","4,2,3,1","2,4,1,3",102.0,False,True,P1,0.813953488
156,78,colplayer,"('deadlock', 'concord')",0.1428571428571428,False,"7,4,25,8","35,23,21,1","2,1,4,3","4,3,2,1",69.0,False,True,P1,0.1428571428571428
157,79,rowplayer,"('staghunt', 'peace')",0.6046511627906976,False,"36,7,32,22","27,3,13,7","4,1,3,2","4,1,3,2",142.0,False,True,P1,0.6046511627906976
158,79,colplayer,"('peace', 'staghunt')",0.9555555555555556,False,"27,13,3,7","36,32,7,22","4,3,1,2","4,3,1,2",120.0,False,True,P1,0.9555555555555556
