model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,65,main_perp,ShSh,CO1,0.0,1.4539333333333335,0.7683500000000001,0.09715000000000001,0.046750000000000014,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,AsAs,CO1,0.0,-0.002266666666666667,0.009125000000000003,0.012383333333333304,0.00932500000000002,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsBa,MP,-0.0,0.05505833333333331,0.02869999999999999,0.00270833333333333,0.009374999999999967,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsCh,MP,-0.0,0.04933333333333332,0.02745,0.02800000000000006,0.01577500000000001,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsCm,OD1,-0.0,0.04986666666666669,0.028575,0.05638333333333329,0.030799999999999994,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,AsCo,CO2,0.0,0.027508333333333353,0.01700000000000001,-0.00019166666666665122,0.007424999999999994,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsDl,OD1,-0.0,0.027525000000000004,0.022874999999999996,0.021724999999999963,0.015825000000000006,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsHa,OD2,0.0,0.012266666666666669,0.009174999999999999,0.020933333333333304,0.011599999999999989,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsHr,MP,-0.0,0.041791666666666664,0.03455,0.018941666666666676,0.016475000000000017,0.2500000000000001,0.25,1
qwen_instruct,h1_dinc,65,random,AsNc,OD2,0.0,0.008116666666666668,0.005925,-0.008333333333333281,0.00492499999999999,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsPc,OD2,0.0,0.009783333333333342,0.014549999999999997,0.023850000000000003,0.016525000000000005,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsPd,OD1,-0.0,0.04021666666666667,0.035050000000000005,-0.010883333333333288,0.012750000000000011,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,AsSh,CO1,0.0,0.016983333333333323,0.0143,0.022499999999999996,0.012949999999999996,0.0,0.0,0
