model,mode,steer_layer,variant,game_code,counterbalance_id,range_letter,range_act0,range_canon,flip_letter,flip_action,flip_canon,family,wave
llama31_instruct,h1_dinc,65,main,HaNc,3,0.2152,0.21520000000000006,0.21520000000000006,0,0,0,DD,7
llama31_instruct,h1_dinc,65,main,HaPc,0,0.6554,0.6554,0.6554,1,1,1,DD,9
llama31_instruct,h1_dinc,65,main,HaPc,1,0.6456999999999999,0.6456999999999999,0.6456999999999999,1,1,1,DD,9
llama31_instruct,h1_dinc,65,main,HaPc,2,0.5851,0.5851,0.5851,1,1,1,DD,9
llama31_instruct,h1_dinc,65,main,HaPc,3,0.2944,0.2944,0.2944,0,0,0,DD,9
llama31_instruct,h1_dinc,65,main,HrAs,0,0.8173,0.8173,0.8173,1,1,1,MP,8
llama31_instruct,h1_dinc,65,main,HrAs,1,0.6795,0.6795,0.6795,1,1,1,MP,8
llama31_instruct,h1_dinc,65,main,HrAs,2,0.546,0.546,0.546,1,1,1,MP,8
llama31_instruct,h1_dinc,65,main,HrAs,3,0.6638999999999999,0.6638999999999999,0.6638999999999999,1,1,1,MP,8
llama31_instruct,h1_dinc,65,main,HrBa,0,0.8287,0.8287,0.8287,1,1,1,CO1,2
llama31_instruct,h1_dinc,65,main,HrBa,1,0.7421,0.7421,0.7421,1,1,1,CO1,2
llama31_instruct,h1_dinc,65,main,HrBa,2,0.8023,0.8022999999999999,0.8022999999999999,1,1,1,CO1,2
llama31_instruct,h1_dinc,65,main,HrBa,3,0.7443,0.7443,0.7443,1,1,1,CO1,2
llama31_instruct,h1_dinc,65,main,HrCh,0,0.7677,0.7677,0.7677,1,1,1,CO1,4
llama31_instruct,h1_dinc,65,main,HrCh,1,0.6196999999999999,0.6196999999999999,0.6196999999999999,1,1,1,CO1,4
llama31_instruct,h1_dinc,65,main,HrCh,2,0.7442,0.7442,0.7442,1,1,1,CO1,4
llama31_instruct,h1_dinc,65,main,HrCh,3,0.7126,0.7126,0.7126,1,1,1,CO1,4
llama31_instruct,h1_dinc,65,main,HrHr,0,0.8047000000000001,0.8047000000000001,0.8047000000000001,1,1,1,CO2,2
llama31_instruct,h1_dinc,65,main,HrHr,1,0.6919,0.6919,0.6919,1,1,1,CO2,2
llama31_instruct,h1_dinc,65,main,HrHr,2,0.7323999999999999,0.7323999999999999,0.7323999999999999,1,1,1,CO2,2
llama31_instruct,h1_dinc,65,main,HrHr,3,0.717,0.717,0.717,1,1,1,CO2,2
llama31_instruct,h1_dinc,65,main,ShAs,0,0.7913,0.7913,0.7913,1,1,1,CO1,8
llama31_instruct,h1_dinc,65,main,ShAs,1,0.7617,0.7617,0.7617,1,1,1,CO1,8
llama31_instruct,h1_dinc,65,main,ShAs,2,0.7172000000000001,0.7172,0.7172,1,1,1,CO1,8
llama31_instruct,h1_dinc,65,main,ShAs,3,0.5623,0.5622999999999999,0.5622999999999999,1,1,1,CO1,8
llama31_instruct,h1_dinc,65,main,ShCo,0,0.7978,0.7978,0.7978,1,1,1,CO2,9
llama31_instruct,h1_dinc,65,main,ShCo,1,0.719,0.719,0.719,1,1,1,CO2,9
llama31_instruct,h1_dinc,65,main,ShCo,2,0.6088,0.6088,0.6088,1,1,1,CO2,9
llama31_instruct,h1_dinc,65,main,ShCo,3,0.4525,0.4525,0.4525,0,0,0,CO2,9
llama31_instruct,h1_dinc,65,main,ShSh,0,0.8196,0.8196,0.8196,1,1,1,CO1,9
llama31_instruct,h1_dinc,65,main,ShSh,1,0.7483,0.7483,0.7483,1,1,1,CO1,9
llama31_instruct,h1_dinc,65,main,ShSh,2,0.7238,0.7238,0.7238,1,1,1,CO1,9
llama31_instruct,h1_dinc,65,main,ShSh,3,0.5322,0.5321999999999999,0.5321999999999999,1,1,1,CO1,9
llama31_instruct,h1_dinc,65,main_perp,AsAs,0,0.7747999999999999,0.7747999999999999,0.7747999999999999,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main_perp,AsAs,1,0.7473000000000001,0.7473000000000001,0.7473000000000001,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main_perp,AsAs,2,0.6296999999999999,0.6296999999999999,0.6296999999999999,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main_perp,AsAs,3,0.6465,0.6465,0.6465,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main_perp,AsBa,0,0.7857,0.7857,0.7857,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main_perp,AsBa,1,0.7042,0.7042,0.7042,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main_perp,AsBa,2,0.6795,0.6795,0.6795,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main_perp,AsBa,3,0.6359999999999999,0.636,0.636,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main_perp,AsCh,0,0.8191999999999999,0.8191999999999999,0.8191999999999999,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main_perp,AsCh,1,0.7483,0.7483,0.7483,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main_perp,AsCh,2,0.6184000000000001,0.6184,0.6184,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main_perp,AsCh,3,0.6251,0.6251,0.6251,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main_perp,AsCm,0,0.7373999999999999,0.7373999999999999,0.7373999999999999,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main_perp,AsCm,1,0.7126,0.7126,0.7126,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main_perp,AsCm,2,0.4465,0.4465,0.4465,0,0,0,OD1,2
llama31_instruct,h1_dinc,65,main_perp,AsCm,3,0.44,0.43999999999999995,0.43999999999999995,0,0,0,OD1,2
llama31_instruct,h1_dinc,65,main_perp,AsCo,0,0.7713,0.7713,0.7713,1,1,1,CO2,1
llama31_instruct,h1_dinc,65,main_perp,AsCo,1,0.7159,0.7159,0.7159,1,1,1,CO2,1
llama31_instruct,h1_dinc,65,main_perp,AsCo,2,0.5908,0.5908,0.5908,1,1,1,CO2,1
llama31_instruct,h1_dinc,65,main_perp,AsCo,3,0.593,0.593,0.593,1,1,1,CO2,1
llama31_instruct,h1_dinc,65,main_perp,AsDl,0,0.7617,0.7617,0.7617,1,1,1,OD1,4
llama31_instruct,h1_dinc,65,main_perp,AsDl,1,0.7191000000000001,0.7191000000000001,0.7191000000000001,1,1,1,OD1,4
llama31_instruct,h1_dinc,65,main_perp,AsDl,2,0.6249,0.6249,0.6249,1,1,1,OD1,4
llama31_instruct,h1_dinc,65,main_perp,AsDl,3,0.569,0.569,0.569,1,1,1,OD1,4
llama31_instruct,h1_dinc,65,main_perp,AsHa,0,0.7865,0.7865,0.7865,1,1,1,OD2,1
llama31_instruct,h1_dinc,65,main_perp,AsHa,1,0.7339,0.7339,0.7339,1,1,1,OD2,1
llama31_instruct,h1_dinc,65,main_perp,AsHa,2,0.713,0.713,0.713,1,1,1,OD2,1
llama31_instruct,h1_dinc,65,main_perp,AsHa,3,0.6447,0.6446999999999999,0.6446999999999999,1,1,1,OD2,1
llama31_instruct,h1_dinc,65,main_perp,AsHr,0,0.7705,0.7705,0.7705000000000001,1,1,1,MP,6
llama31_instruct,h1_dinc,65,main_perp,AsHr,1,0.6878,0.6878,0.6878,1,1,1,MP,6
llama31_instruct,h1_dinc,65,main_perp,AsHr,2,0.6643,0.6643,0.6643,1,1,1,MP,6
llama31_instruct,h1_dinc,65,main_perp,AsHr,3,0.6204999999999999,0.6204999999999999,0.6204999999999999,1,1,1,MP,6
