model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
llama31_instruct,h1_dinc,65,main,CoAs,1.4315416666666667,0.6967,0.41912499999999997,-0.277575,0.15005833333333343,0.16467500000000002,-0.09747499999999998,-0.14762499999999998,0.15005833333333343,0.16467500000000002,-0.09747499999999998,-0.14762499999999998,2.083333333333333,1.0,0.5,-0.5,0.4166666666666663,0.5,-0.5,-0.5,0.4166666666666663,0.5,-0.5,-0.5,7,CO2,2,-0.6035533905932737,0.0
llama31_instruct,h1_dinc,65,main,CoCo,1.4659666666666664,0.71595,0.42022499999999996,-0.295725,0.051783333333333424,0.150675,-0.143375,-0.14727500000000002,0.051783333333333424,0.150675,-0.143375,-0.14727500000000002,1.9999999999999998,1.0,0.5,-0.5,0.3333333333333332,0.5,-0.5,-0.5,0.3333333333333332,0.5,-0.5,-0.5,7,CO1,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,65,main,CoSh,1.34435,0.6604249999999999,0.42569999999999997,-0.234725,0.35768333333333335,0.2171,-0.0174,-0.162975,0.35768333333333335,0.2171,-0.0174,-0.162975,2.1666666666666665,1.0,0.75,-0.25,0.49999999999999994,0.5,-0.25,-0.25,0.49999999999999994,0.5,-0.25,-0.25,8,CO2,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,65,main,HaAs,1.2885166666666663,0.63905,0.319725,-0.319325,0.04841666666666668,0.18005000000000002,-0.162275,-0.17397500000000005,0.04841666666666668,0.18005000000000002,-0.162275,-0.17397500000000005,1.6666666666666663,1.0,0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,7,OD2,1,-0.4233901974057255,0.6000000000000001
llama31_instruct,h1_dinc,65,main,HaBa,1.3247499999999997,0.6471,0.43065,-0.21645,0.39713333333333334,0.226475,0.004750000000000004,-0.1428,0.39713333333333334,0.226475,0.004750000000000004,-0.1428,2.1666666666666665,1.0,0.75,-0.25,0.49999999999999994,0.5,-0.25,-0.25,0.49999999999999994,0.5,-0.25,-0.25,9,OD2,1,-0.4233901974057255,0.6000000000000001
llama31_instruct,h1_dinc,65,main,HaCm,1.3025083333333334,0.642575,0.399075,-0.2435,0.35435833333333333,0.2196,-0.02092499999999997,-0.1679,0.35435833333333333,0.2196,-0.02092499999999997,-0.1679,1.75,0.75,0.25,-0.5,0.9166666666666667,0.5,-0.25,-0.5,0.9166666666666667,0.5,-0.25,-0.5,1,DD,1,0.0384900179459749,1.4
llama31_instruct,h1_dinc,65,main,HaDl,1.4030249999999997,0.691025,0.43132499999999996,-0.2597,0.22977500000000003,0.1794,-0.06012500000000001,-0.14495000000000002,0.22977500000000003,0.1794,-0.06012500000000001,-0.14495000000000002,2.083333333333333,1.0,0.75,-0.25,0.4166666666666666,0.5,-0.25,-0.25,0.4166666666666666,0.5,-0.25,-0.25,3,DD,1,-0.1924500897298753,1.0
llama31_instruct,h1_dinc,65,main,HaHa,1.1778083333333331,0.591825,0.31399999999999995,-0.27782500000000004,0.08502499999999986,0.187825,-0.15549999999999997,-0.17367499999999997,0.08502499999999986,0.187825,-0.15549999999999997,-0.17367499999999997,1.6666666666666663,1.0,0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,5,DD,1,-0.6543303050815759,0.2
llama31_instruct,h1_dinc,65,main,HaNc,0.9587916666666665,0.48097500000000004,0.2376,-0.243375,0.4702083333333332,0.259225,0.00470000000000001,-0.208775,0.4702083333333332,0.259225,0.00470000000000001,-0.208775,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,7,DD,1,-0.7698003589195012,0.0
llama31_instruct,h1_dinc,65,main,HaPc,1.094625,0.54515,0.279425,-0.265725,0.2682583333333333,0.21710000000000004,-0.095975,-0.20137500000000003,0.2682583333333333,0.21710000000000004,-0.095975,-0.20137500000000003,1.4166666666666665,0.75,0.25,-0.5,0.5833333333333333,0.5,-0.25,-0.5,0.5833333333333333,0.5,-0.25,-0.5,9,DD,1,-0.4233901974057255,0.6000000000000001
