model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
qwen,h2_choice,65,main,CO1,9,-0.38097962962962956,0.19020833333333334,0.02846296296296296,0.040405555555555556,-0.14814814814814806,0.2222222222222222,0.4166666666666667,0.19089166666666665
qwen,h2_choice,65,main,CO2,9,-0.3500175925925926,0.17485833333333334,0.01930277777777778,0.03378611111111111,-0.0833333333333333,0.2777777777777778,0.3611111111111111,0.1749027777777778
qwen,h2_choice,65,main,DD,9,-0.3144796296296296,0.16039444444444442,0.15066111111111108,0.07498333333333333,-0.18518518518518517,0.1111111111111111,0.1111111111111111,0.1633361111111111
qwen,h2_choice,65,main,MP,9,-0.36367222222222223,0.18411111111111111,-0.0042055555555555795,0.030491666666666657,0.12037037037037039,0.2222222222222222,0.3888888888888889,0.18431666666666663
qwen,h2_choice,65,main,OD1,9,-0.35698611111111106,0.18014444444444447,0.003289814814814798,0.03953333333333334,0.22222222222222227,0.25,0.4444444444444444,0.18028055555555556
qwen,h2_choice,65,main,OD2,9,-0.3578731481481482,0.17976111111111112,0.06451203703703705,0.04009722222222222,-0.3333333333333333,0.2222222222222222,0.3888888888888889,0.17989444444444447
qwen,h2_choice,65,main_perp,CO1,9,-0.3668944444444444,0.1858972222222222,0.027322222222222234,0.03894166666666668,-0.13888888888888884,0.25,0.3888888888888889,0.18593888888888888
qwen,h2_choice,65,main_perp,CO2,9,-0.3587935185185185,0.179625,0.037437962962962965,0.03713888888888889,-0.02777777777777772,0.2777777777777778,0.3333333333333333,0.1804777777777778
qwen,h2_choice,65,main_perp,DD,9,-0.31381759259259256,0.15769166666666667,0.16322314814814812,0.08110833333333331,-0.18518518518518517,0.1111111111111111,0.1111111111111111,0.1600361111111111
qwen,h2_choice,65,main_perp,MP,9,-0.3607314814814815,0.1829805555555556,-0.004638888888888871,0.02894722222222221,0.1388888888888889,0.25,0.4444444444444444,0.1838027777777778
qwen,h2_choice,65,main_perp,OD1,9,-0.35966296296296296,0.18180555555555558,0.00500370370370368,0.034791666666666665,0.21296296296296294,0.3055555555555556,0.5555555555555556,0.1818611111111111
qwen,h2_choice,65,main_perp,OD2,9,-0.3534064814814814,0.17805833333333332,0.06134722222222222,0.03890277777777778,-0.14814814814814817,0.16666666666666666,0.3888888888888889,0.17897222222222223
qwen,h2_choice,65,random,CO1,9,0.013709259259259256,0.020286111111111112,-0.003162962962962987,0.01716111111111111,0.16666666666666663,0.08333333333333333,0.08333333333333333,0.03731944444444444
qwen,h2_choice,65,random,CO2,9,0.022703703703703695,0.019950000000000006,-0.00891111111111111,0.016380555555555565,0.018518518518518528,0.1111111111111111,0.1111111111111111,0.034766666666666675
