delta_c,shap_delta_c,model
-0.0,-1.25074920270736,qwen
-0.0,-1.527375795399834,qwen
-0.0,-1.5424819223247126,qwen
-0.0,-1.2361407045866646,qwen
-0.0,-0.9901686655710967,qwen
-0.0,-0.9670893159449887,qwen
-0.0,-0.6746974173617747,qwen
-0.0,-1.25074920270736,qwen
-0.0,-1.527375795399834,qwen
-0.0,-1.5424819223247126,qwen
-0.0,-1.2361407045866646,qwen
-0.0,-0.9901686655710967,qwen
-0.0,-0.9670893159449887,qwen
-0.0,-0.6746974173617747,qwen
-0.0,-1.25074920270736,qwen
-0.0,-1.527375795399834,qwen
-0.0,-1.5424819223247126,qwen
-0.0,-1.1907214356536755,qwen
-0.0,-0.8518682422868352,qwen
-0.0,-0.8974047166321061,qwen
-0.0,-0.6347681936493633,qwen
-0.0,-1.2133887898465294,qwen
-0.0,-1.6203827757429299,qwen
-0.0,-1.5018638902228623,qwen
-0.0,-1.1907214356536755,qwen
-0.0,-0.8518682422868352,qwen
-0.0,-0.8974047166321061,qwen
-0.0,-0.6347681936493633,qwen
-0.0,-1.2133887898465294,qwen
-0.0,-1.6203827757429299,qwen
-0.0,-1.5018638902228623,qwen
-0.0,-1.1907214356536755,qwen
-0.0,-0.8518682422868352,qwen
-0.0,-0.8974047166321061,qwen
-0.0,-0.6347681936493633,qwen
-0.0,-1.2133887898465294,qwen
-0.0,-1.6203827757429299,qwen
-0.0,-1.5018638902228623,qwen
-0.0,-1.1907214356536755,qwen
-0.0,-0.8518682422868352,qwen
-0.0,-0.8974047166321061,qwen
-0.0,-0.6347681936493633,qwen
-0.0,-1.2133887898465294,qwen
-0.0,-1.6203827757429299,qwen
-0.0,-1.5018638902228623,qwen
0.0,-1.2085314599727421,qwen
0.0,-0.8300913345543571,qwen
0.0,-0.8990323095396061,qwen
0.0,-0.5324425339125666,qwen
0.0,-1.231198814165595,qwen
0.0,-1.6626934580374086,qwen
0.0,-1.5449826801573847,qwen
0.0,-1.2085314599727421,qwen
0.0,-0.8300913345543571,qwen
0.0,-0.8990323095396061,qwen
0.0,-0.5324425339125666,qwen
0.0,-1.231198814165595,qwen
0.0,-1.6626934580374086,qwen
0.0,-1.5449826801573847,qwen
0.0,-1.2085314599727421,qwen
0.0,-0.8300913345543571,qwen
0.0,-0.8990323095396061,qwen
0.0,-0.5324425339125666,qwen
0.0,-1.231198814165595,qwen
0.0,-1.6626934580374086,qwen
0.0,-1.5449826801573847,qwen
0.0,-1.2085314599727421,qwen
0.0,-0.8300913345543571,qwen
0.0,-0.8990323095396061,qwen
0.0,-0.5324425339125666,qwen
0.0,-1.231198814165595,qwen
0.0,-1.6626934580374086,qwen
0.0,-1.5449826801573847,qwen
0.0,-1.120283443691877,qwen
0.0,-0.8743114046763111,qwen
0.0,-0.7203800502401466,qwen
0.0,-0.3838095325217033,qwen
0.0,-1.1348919418125718,qwen
0.0,-1.4439209448362968,qwen
0.0,-1.4270055095778686,qwen
0.0,-1.120283443691877,qwen
0.0,-0.8743114046763111,qwen
0.0,-0.7203800502401466,qwen
0.0,-0.3838095325217033,qwen
0.0,-1.1348919418125718,qwen
0.0,-1.4439209448362968,qwen
0.0,-1.4270055095778686,qwen
0.0,-1.120283443691877,qwen
0.0,-0.8743114046763111,qwen
0.0,-0.7203800502401466,qwen
0.0,-0.3838095325217033,qwen
0.0,-1.1348919418125718,qwen
0.0,-1.4439209448362968,qwen
0.0,-1.4270055095778686,qwen
0.0,-1.120283443691877,qwen
0.0,-0.8743114046763111,qwen
0.0,-0.7203800502401466,qwen
0.0,-0.3838095325217033,qwen
0.0,-1.1348919418125718,qwen
0.0,-1.4439209448362968,qwen
0.0,-1.4270055095778686,qwen
0.0,-1.0679328222118785,qwen
0.0,-0.6894926967934936,qwen
0.0,-0.7746161031903077,qwen
