model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
gptoss,1,inequity,trait,AsPd,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,BaAs,0,1.0,0.75,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,BaCm,0,1.0,0.5,1.0,0.25,0.5,-0.25,0.5,0.25,0.5,-0.25,0.75,0.5,4,2,2,corrected_integrated_root
gptoss,1,inequity,trait,BaDl,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,BaHa,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,BaPc,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,BaPd,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,BaSh,0,1.0,1.0,1.0,0.75,0.0,-0.25,0.0,0.25,0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ChAs,0,2.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,4,2,2,corrected_integrated_root
gptoss,1,inequity,trait,ChBa,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,ChCo,0,1.0,0.5,1.0,0.0,0.5,-0.5,0.5,0.5,0.5,-0.5,1.0,0.5,4,2,2,corrected_integrated_root
gptoss,1,inequity,trait,ChDl,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ChHr,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,ChPd,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
