unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
1807,904,0.6,9,24,28,14,1,27,6,4,rowplayer,"('hero', 'hero')",0.6,1
1824,912,0.8378378378378378,27,23,32,6,19,26,7,4,colplayer,"('chicken', 'chicken')",0.8378378378378378,1
1823,912,0.4473684210526316,19,7,26,4,27,32,23,6,rowplayer,"('chicken', 'chicken')",0.5526315789473685,1
1864,932,0.40425531914893614,5,10,13,6,9,40,14,11,colplayer,"('hero', 'hero')",0.40425531914893614,1
1863,932,0.28888888888888886,9,14,40,11,5,13,10,6,rowplayer,"('hero', 'hero')",0.7111111111111111,1
1870,935,0.4444444444444444,11,7,19,5,17,23,10,9,colplayer,"('chicken', 'chicken')",0.5555555555555556,1
1869,935,0.6428571428571429,17,10,23,9,11,19,7,5,rowplayer,"('chicken', 'chicken')",0.35714285714285715,1
1896,948,0.7804878048780488,18,7,19,4,16,32,8,3,colplayer,"('chicken', 'chicken')",0.7804878048780488,1
1895,948,0.5641025641025641,16,8,32,3,18,19,7,4,rowplayer,"('chicken', 'chicken')",0.4358974358974359,1
1900,950,0.6818181818181818,39,7,5,19,22,1,4,21,colplayer,"('safecoord', 'safecoord')",0.6818181818181818,1
1899,950,0.8780487804878049,22,4,1,21,39,5,7,19,rowplayer,"('safecoord', 'safecoord')",0.8780487804878049,1
1904,952,0.7647058823529411,20,11,29,3,21,23,19,5,colplayer,"('chicken', 'chicken')",0.23529411764705882,1
1903,952,0.8387096774193549,21,19,23,5,20,29,11,3,rowplayer,"('chicken', 'chicken')",0.8387096774193549,1
1910,955,0.3488372093023256,7,12,21,9,1,42,11,2,colplayer,"('hero', 'hero')",0.6511627906976745,1
1909,955,0.23529411764705882,1,11,42,2,7,21,12,9,rowplayer,"('hero', 'hero')",0.7647058823529411,1
1914,957,0.6388888888888888,27,6,19,16,43,36,5,9,colplayer,"('staghunt', 'staghunt')",0.6388888888888888,1
1913,957,0.7317073170731707,43,5,36,9,27,19,6,16,rowplayer,"('staghunt', 'staghunt')",0.7317073170731707,1
1940,970,0.9,20,2,3,7,23,7,1,8,colplayer,"('assurance', 'assurance')",0.9,1
1939,970,0.6904761904761905,23,1,7,8,20,3,2,7,rowplayer,"('assurance', 'assurance')",0.6904761904761905,1
1942,971,0.48,5,9,21,6,1,32,8,3,colplayer,"('hero', 'hero')",0.52,1
1941,971,0.22857142857142856,1,8,32,3,5,21,9,6,rowplayer,"('hero', 'hero')",0.7714285714285715,1
1950,975,0.375,2,37,40,8,2,11,10,3,colplayer,"('hero', 'hero')",0.625,1
1949,975,0.5454545454545454,2,10,11,3,2,40,37,8,rowplayer,"('hero', 'hero')",0.5454545454545454,1
1970,985,0.3076923076923077,2,10,13,7,3,22,16,15,colplayer,"('hero', 'hero')",0.6923076923076923,1
1969,985,0.2916666666666667,3,16,22,15,2,13,10,7,rowplayer,"('hero', 'hero')",0.7083333333333334,1
1972,986,0.36666666666666664,9,8,42,2,6,15,5,2,colplayer,"('chicken', 'chicken')",0.6333333333333333,1
1971,986,0.5428571428571428,6,5,15,2,9,42,8,2,rowplayer,"('chicken', 'chicken')",0.45714285714285713,1
1978,989,0.35714285714285715,1,8,11,3,3,32,22,12,colplayer,"('hero', 'hero')",0.35714285714285715,1
1977,989,0.3,3,22,32,12,1,11,8,3,rowplayer,"('hero', 'hero')",0.7,1
1996,998,0.7428571428571429,9,1,6,2,33,12,4,5,colplayer,"('staghunt', 'staghunt')",0.7428571428571429,1
1995,998,0.8372093023255814,33,4,12,5,9,6,1,2,rowplayer,"('staghunt', 'staghunt')",0.8372093023255814,1
2014,1007,0.2608695652173913,4,11,25,5,1,37,25,10,colplayer,"('hero', 'hero')",0.7391304347826086,1
2013,1007,0.42857142857142855,1,25,37,10,4,25,11,5,rowplayer,"('hero', 'hero')",0.42857142857142855,1
2024,1012,0.39285714285714285,4,6,13,1,11,26,17,9,colplayer,"('leader', 'leader')",0.6071428571428571,1
2023,1012,0.6097560975609756,11,17,26,9,4,13,6,1,rowplayer,"('leader', 'leader')",0.3902439024390244,1
2028,1014,0.7441860465116279,15,23,32,10,7,15,8,2,colplayer,"('leader', 'leader')",0.2558139534883721,1
2027,1014,0.5454545454545454,7,8,15,2,15,32,23,10,rowplayer,"('leader', 'leader')",0.45454545454545453,1
2038,1019,0.1794871794871795,2,7,21,6,5,38,26,6,colplayer,"('hero', 'hero')",0.8205128205128205,1
2037,1019,0.5384615384615384,5,26,38,6,2,21,7,6,rowplayer,"('hero', 'hero')",0.5384615384615384,1
2048,1024,0.9090909090909091,36,12,2,15,16,1,4,12,colplayer,"('safecoord', 'safecoord')",0.9090909090909091,1
2047,1024,0.8,16,4,1,12,36,2,12,15,rowplayer,"('safecoord', 'safecoord')",0.8,1
2064,1032,0.8108108108108109,10,2,1,6,47,3,5,11,colplayer,"('safecoord', 'safecoord')",0.8108108108108109,1
