model,layer,angle_decision_incentive_deg,null_median_deg,null_lo_deg,null_hi_deg,perm_p,below_null,row_scope,n_obs,n_games,n_perm,independent_shuffle_median_deg
qwen,20,55.46160150477869,54.68649874522639,50.818384839931845,58.15354570040534,0.6666666666666666,False,parsed_generated_choice,576,144,200,
qwen,21,55.96829741037372,54.53584969405438,51.28276158202191,57.88707083239434,0.736318407960199,False,parsed_generated_choice,576,144,200,
qwen,22,55.57899027661958,54.80487210513412,50.27094078159031,58.454635965436594,0.6766169154228856,False,parsed_generated_choice,576,144,200,
qwen,23,55.43184705404105,54.63321220875011,50.17818889076347,58.1128476071795,0.6666666666666666,False,parsed_generated_choice,576,144,200,
qwen,24,56.13838736061429,55.56896866444663,50.83535884135183,60.44726774277418,0.6119402985074627,False,parsed_generated_choice,576,144,200,
qwen,25,56.06483354484583,55.64661077011458,51.11680386455378,60.03354958189955,0.572139303482587,False,parsed_generated_choice,576,144,200,
qwen,26,55.83111451934893,55.486388488302865,51.79593318053604,59.83218648339809,0.5771144278606966,False,parsed_generated_choice,576,144,200,
qwen,27,55.53705046700843,55.65301781329368,51.586817227137146,59.97780278176112,0.4676616915422885,False,parsed_generated_choice,576,144,200,
qwen,28,55.618713925371566,55.604365980615285,51.6052305687045,60.77307420910959,0.5074626865671642,False,parsed_generated_choice,576,144,200,
qwen,29,55.937348157772114,55.30332049143618,50.76903170243648,60.885010943542184,0.6218905472636815,False,parsed_generated_choice,576,144,200,
qwen,30,56.436652172507074,55.59006571927296,50.41515003534395,60.24563980410735,0.6517412935323383,False,parsed_generated_choice,576,144,200,
qwen,31,57.12115879563056,55.65735745050705,50.81013984602065,60.52681661703377,0.7810945273631841,False,parsed_generated_choice,576,144,200,
qwen,32,58.514855866139946,55.57308233190645,50.86381422149049,59.68964671394402,0.8955223880597015,False,parsed_generated_choice,576,144,200,
qwen,33,59.3134468388138,55.58384561289533,50.28971837326717,60.1611130080528,0.9552238805970148,False,parsed_generated_choice,576,144,200,
