model,round,cue,game,class,target_action,base_pref_target,cue_pref_target,shift_pref,base_real_target,cue_real_target,shift_real
gptoss,1,maximin,CoAs,CO2,0,0.6001788760618975,0.7395642831111826,0.13938540704928515,1.0,1.0,0.0
gptoss,1,maximin,CoBa,MP,0,0.44434675624344927,0.9928038316056357,0.5484570753621865,0.3333333333333333,0.6666666666666666,0.3333333333333333
gptoss,1,maximin,CoCh,MP,0,0.6233129745333521,0.9827454317537462,0.3594324572203941,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,maximin,CoCo,CO1,0,0.20409921128057748,0.999999999999993,0.7959007887194155,0.6666666666666666,1.0,0.33333333333333337
gptoss,1,maximin,CoSh,CO2,0,0.21246457259887017,0.12620698603010297,-0.0862575865687672,0.0,0.0,0.0
gptoss,1,maximin,DlAs,OD1,1,0.7252465284819777,0.9826194959660719,0.2573729674840942,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,maximin,DlBa,OD1,1,0.41613185052032786,0.7947496287048776,0.3786177781845498,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,maximin,DlCh,OD1,1,0.21851273422197603,0.6489616406179772,0.4304489063960012,0.33333333333333337,0.0,-0.33333333333333337
gptoss,1,maximin,DlCm,DD,1,0.38498160900278877,0.6782936294366746,0.2933120204338858,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,DlCo,OD2,1,0.18749240697155123,0.8359372863348441,0.6484448793632929,0.6666666666666667,1.0,0.33333333333333326
gptoss,1,maximin,DlDl,DD,1,0.5634364978185797,0.6800409448768143,0.11660444705823458,0.6666666666666667,1.0,0.33333333333333326
gptoss,1,maximin,DlHa,DD,1,0.6811323765842139,0.9327289259877605,0.2515965494035466,0.33333333333333337,0.6666666666666667,0.33333333333333337
gptoss,1,maximin,DlHr,OD2,1,0.6820903274710348,0.6437987128725982,-0.03829161459843666,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,maximin,DlNc,DD,1,0.749665662695995,0.7751117587440453,0.02544609604805026,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,DlPc,DD,1,0.20891250960610097,0.9999999999999999,0.7910874903938989,0.33333333333333337,0.6666666666666667,0.33333333333333337
gptoss,1,maximin,DlPd,DD,1,0.40192042805809625,0.7876564024197963,0.38573597436170004,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,DlSh,OD1,1,0.40624856737807136,0.6751883323535637,0.2689397649754923,0.6666666666666667,0.33333333333333337,-0.33333333333333337
gptoss,1,maximin,HaAs,OD2,0,0.00629064138559787,0.6720254805561527,0.6657348391705549,0.3333333333333333,0.6666666666666666,0.3333333333333333
