model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,random,BaHa,OD2,2.0,0.03973333333333337,0.02255000000000003,0.010116666666666668,0.008349999999999996,0.0,0.0,1
qwen,h1_dinc,65,random,BaHr,CO1,2.0,-0.006899999999999998,0.008349999999999996,-0.008316666666666729,0.01522499999999996,0.9999999999999999,0.5,1
qwen,h1_dinc,65,random,BaNc,OD2,-0.0,0.05742500000000002,0.023775000000000004,0.005124999999999973,0.01560000000000003,0.0,0.0,0
qwen,h1_dinc,65,random,BaPc,OD2,2.0,0.011799999999999984,0.01575,0.03651666666666674,0.030149999999999982,0.0,0.0,1
qwen,h1_dinc,65,random,BaPd,OD1,2.0,0.007600000000000032,0.007949999999999999,0.00025000000000000174,0.015949999999999992,0.0,0.0,1
qwen,h1_dinc,65,random,BaSh,MP,0.0,0.023099999999999978,0.01625,0.016666666666666684,0.02245000000000001,0.0,0.0,0
qwen,h1_dinc,65,random,ChAs,MP,0.0,-0.00537499999999998,0.015075000000000019,0.009824999999999997,0.022950000000000012,0.0,0.0,1
qwen,h1_dinc,65,random,ChBa,CO2,0.5,0.05394999999999995,0.029574999999999976,0.004800000000000013,0.007874999999999993,0.08333333333333334,0.25,1
qwen,h1_dinc,65,random,ChCh,CO2,0.5,-0.004599999999999965,0.00810000000000001,-0.03378333333333328,0.014875,-0.5,0.25,1
qwen,h1_dinc,65,random,ChCm,OD1,1.0,0.014658333333333298,0.014949999999999991,0.03045833333333339,0.023275000000000018,0.4166666666666666,0.25,1
qwen,h1_dinc,65,random,ChCo,MP,-0.5,0.0020166666666666905,0.02249999999999998,0.009166666666666686,0.008700000000000013,0.5833333333333334,0.25,1
qwen,h1_dinc,65,random,ChDl,OD1,1.0,-0.00243333333333333,0.0077999999999999875,0.002466666666666695,0.007824999999999999,0.0,0.0,1
qwen,h1_dinc,65,random,ChHa,OD2,1.0,0.04570833333333333,0.02302499999999999,-0.005241666666666656,0.015375,0.25000000000000017,0.25,1
qwen,h1_dinc,65,random,ChHr,CO1,1.0,0.030349999999999974,0.015274999999999997,-0.004683333333333322,0.007824999999999971,0.0,0.0,1
