model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
llama31_instruct,h2_choice,79,main_perp,beh,0.012345679012345677,-0.00771604938271605,0.037037037037037035,54,70.37037037037037
llama31_instruct,h2_choice,79,random,letter,-0.8062195987654319,-0.8368909529320986,-0.7748343634259258,54,100.0
llama31_instruct,h2_choice,79,random,canon,-0.01752824074074075,-0.04557060956790125,0.01069120756172839,54,100.0
llama31_instruct,h2_choice,79,random,beh,-0.13580246913580243,-0.3133101851851853,0.037075617283950785,54,100.0
qwen,h1_dinc,65,main,letter,1.023068672839506,1.0143670794753086,1.0322500771604937,54,100.0
qwen,h1_dinc,65,main,canon,0.015937499999999983,0.0031400308641975163,0.028541064814814786,54,100.0
qwen,h1_dinc,65,main,beh,0.03858024691358022,-0.041666666666666664,0.12040895061728407,54,100.0
qwen,h1_dinc,65,main_perp,letter,1.0100541666666667,1.0016863310185182,1.018331284722222,54,100.0
qwen,h1_dinc,65,main_perp,canon,0.018082561728395057,0.0061336574074073984,0.030146867283950607,54,100.0
qwen,h1_dinc,65,main_perp,beh,0.06944444444444443,0.0030864197530864534,0.13888888888888884,54,100.0
qwen,h1_dinc,65,random,letter,0.014904783950617286,0.009699336419753084,0.020023557098765438,54,79.62962962962963
qwen,h1_dinc,65,random,canon,0.0009871913580246862,-0.004795976080246908,0.006555914351851851,54,79.62962962962963
qwen,h1_dinc,65,random,beh,0.05246913580246914,-0.013888888888888888,0.1234567901234568,54,79.62962962962963
qwen,h1_dinc,79,main,letter,0.7469733024691358,0.7383564930555554,0.7543238734567901,54,100.0
qwen,h1_dinc,79,main,canon,0.0016890432098765414,-0.004546793981481488,0.007978171296296294,54,100.0
qwen,h1_dinc,79,main,beh,0.04629629629629629,-0.047878086419753114,0.1419753086419753,54,100.0
qwen,h1_dinc,79,main_perp,letter,0.0035702160493827216,-0.0014495216049382656,0.008228321759259263,54,75.92592592592592
qwen,h1_dinc,79,main_perp,canon,5.077160493827051e-05,-0.0037693364197530954,0.003972280092592596,54,75.92592592592592
qwen,h1_dinc,79,main_perp,beh,-0.01080246913580246,-0.05401234567901233,0.03395061728395062,54,75.92592592592592
qwen,h1_dinc,79,random,letter,-0.028779783950617283,-0.032248090277777766,-0.025134112654320986,54,79.62962962962963
qwen,h1_dinc,79,random,canon,-0.001952006172839509,-0.005894490740740746,0.0019761072530864194,54,79.62962962962963
qwen,h1_dinc,79,random,beh,0.021604938271604944,-0.009259259259259245,0.05555555555555554,54,79.62962962962963
qwen,h2_choice,65,main,letter,-0.35400138888888893,-0.36797465663580253,-0.34112764274691354,54,96.29629629629629
qwen,h2_choice,65,main,canon,0.043670524691358015,0.021489193672839496,0.06584638888888886,54,96.29629629629629
qwen,h2_choice,65,main,beh,-0.0679012345679012,-0.1913580246913579,0.05401234567901234,54,96.29629629629629
qwen,h2_choice,65,main_perp,letter,-0.3522177469135802,-0.365956824845679,-0.3391699961419754,54,98.14814814814815
qwen,h2_choice,65,main_perp,canon,0.04828256172839507,0.0251711535493827,0.07170173996913579,54,98.14814814814815
qwen,h2_choice,65,main_perp,beh,-0.024691358024691336,-0.14969135802469127,0.10339506172839508,54,98.14814814814815
qwen,h2_choice,65,random,letter,0.014904783950617286,0.009850111882716055,0.019960648148148154,54,79.62962962962963
