model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
gptoss,BaCm,0.5,45.66372152366293,0.0,4,0.5559886257002059,-1.0083683467310325,heterogeneous_all,36
gptoss,BaCo,0.75,-171.73720791973267,0.0,4,-2.1396724849973134,-1.0083683467310325,heterogeneous_all,36
gptoss,BaDl,1.0,90.26413613616198,0.0,4,1.1090111150691053,-1.0083683467310325,heterogeneous_all,36
gptoss,BaHa,0.75,74.89462069035405,-0.0,4,0.9184369294683181,-1.0083683467310325,heterogeneous_all,36
gptoss,BaHr,0.5,39.14825795830507,0.0,4,0.47520018658787555,-1.0083683467310325,heterogeneous_all,36
gptoss,BaNc,0.5,5.3706804848510075,-0.0,4,0.056375380999958286,-1.0083683467310325,heterogeneous_all,36
gptoss,BaPc,0.75,-90.07280164921457,-0.0,4,-1.1270753232682704,-1.0083683467310325,heterogeneous_all,36
gptoss,BaPd,1.0,38.24452567148719,0.0,4,0.46399436522228205,-1.0083683467310325,heterogeneous_all,36
gptoss,BaSh,1.0,1.1469147882936248,0.0,4,0.004002831544632828,-1.0083683467310325,heterogeneous_all,36
gptoss,ChAs,0.5,-237.22657475293067,0.0,4,-2.951707372743369,-1.0083683467310325,heterogeneous_all,36
gptoss,ChBa,0.25,-90.40258049341513,0.0,4,-1.1311644134470396,-1.0083683467310325,heterogeneous_all,36
gptoss,ChCh,1.0,-8.796271757035782,0.0,4,-0.11928763163452338,-1.0083683467310325,heterogeneous_all,36
gptoss,ChCm,1.0,4.953320947855579,0.0,4,0.051200334711344185,-1.0083683467310325,heterogeneous_all,36
gptoss,ChCo,0.5,-179.40324222874932,0.0,4,-2.234727416974822,-1.0083683467310325,heterogeneous_all,36
gptoss,ChDl,1.0,-10.152404244971613,0.0,4,-0.1361029857272662,-1.0083683467310325,heterogeneous_all,36
gptoss,ChHa,0.75,-68.59589236208826,-0.0,4,-0.8607725558812587,-1.0083683467310325,heterogeneous_all,36
gptoss,ChHr,0.0,47.304970912685846,0.0,4,0.576339284560186,-1.0083683467310325,heterogeneous_all,36
gptoss,ChNc,0.25,60.50563740122527,-0.0,4,0.740020844613998,-1.0083683467310325,heterogeneous_all,36
gptoss,ChPc,1.0,-17.300218951824082,-0.0,4,-0.22473225783325687,-1.0083683467310325,heterogeneous_all,36
gptoss,ChPd,1.0,13.588212913709864,0.0,4,0.15826860956657374,-1.0083683467310325,heterogeneous_all,36
