layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
40,cue_selfish_maximizer,3,-2.28125,,-1.9166666666666667,,3,,qwen,AsCm,-0.0
79,baseline,0,-0.8125,,-0.625,,3,,qwen,AsCm,-0.0
79,baseline,1,-1.5,,-0.7708333333333334,,3,,qwen,AsCm,-0.0
79,baseline,2,1.1875,,0.75,,3,,qwen,AsCm,-0.0
79,baseline,3,0.875,,0.5625,,3,,qwen,AsCm,-0.0
79,cue_inequity_aversion,0,0.875,,0.7708333333333334,,3,,qwen,AsCm,-0.0
79,cue_inequity_aversion,1,-0.4375,,0.15625,,3,,qwen,AsCm,-0.0
79,cue_inequity_aversion,2,3.3125,,1.7395833333333333,,3,,qwen,AsCm,-0.0
79,cue_inequity_aversion,3,3.9375,,1.84375,,3,,qwen,AsCm,-0.0
79,cue_length_match_null,0,-0.375,,-0.3541666666666667,,3,,qwen,AsCm,-0.0
79,cue_length_match_null,1,-1.3125,,-0.328125,,3,,qwen,AsCm,-0.0
79,cue_length_match_null,2,0.625,,0.65625,,3,,qwen,AsCm,-0.0
79,cue_length_match_null,3,1.3125,,0.46875,,3,,qwen,AsCm,-0.0
79,cue_loss_aversion,0,-2.0,,0.14583333333333334,,3,,qwen,AsCm,-0.0
79,cue_loss_aversion,1,-2.125,,0.10416666666666667,,3,,qwen,AsCm,-0.0
79,cue_loss_aversion,2,3.4375,,0.96875,,3,,qwen,AsCm,-0.0
79,cue_loss_aversion,3,3.625,,0.71875,,3,,qwen,AsCm,-0.0
79,cue_maximin,0,-2.5625,,-0.9583333333333334,,3,,qwen,AsCm,-0.0
79,cue_maximin,1,-2.5625,,-1.1770833333333333,,3,,qwen,AsCm,-0.0
79,cue_maximin,2,3.4375,,1.5833333333333333,,3,,qwen,AsCm,-0.0
79,cue_maximin,3,3.1875,,1.2708333333333333,,3,,qwen,AsCm,-0.0
79,cue_risk_aversion,0,-1.8125,,-1.2395833333333333,,3,,qwen,AsCm,-0.0
79,cue_risk_aversion,1,-2.125,,-1.2083333333333333,,3,,qwen,AsCm,-0.0
79,cue_risk_aversion,2,3.5625,,2.5,,3,,qwen,AsCm,-0.0
79,cue_risk_aversion,3,3.875,,2.4791666666666665,,3,,qwen,AsCm,-0.0
79,cue_selfish_maximizer,0,-2.8125,,-1.9166666666666667,,3,,qwen,AsCm,-0.0
79,cue_selfish_maximizer,1,-2.9375,,-2.09375,,3,,qwen,AsCm,-0.0
79,cue_selfish_maximizer,2,2.0,,2.0104166666666665,,3,,qwen,AsCm,-0.0
79,cue_selfish_maximizer,3,2.0625,,1.7083333333333333,,3,,qwen,AsCm,-0.0
40,baseline,0,-2.078125,,-0.5807291666666666,,3,,qwen,AsCo,0.0
40,baseline,1,-2.46875,,-1.1119791666666667,,3,,qwen,AsCo,0.0
40,baseline,2,2.453125,,1.0729166666666667,,3,,qwen,AsCo,0.0
40,baseline,3,2.328125,,0.9947916666666666,,3,,qwen,AsCo,0.0
40,cue_inequity_aversion,0,-1.359375,,-1.2369791666666667,,3,,qwen,AsCo,0.0
40,cue_inequity_aversion,1,-1.765625,,-1.4947916666666667,,3,,qwen,AsCo,0.0
40,cue_inequity_aversion,2,1.546875,,1.4036458333333333,,3,,qwen,AsCo,0.0
40,cue_inequity_aversion,3,1.7734375,,1.4401041666666667,,3,,qwen,AsCo,0.0
40,cue_length_match_null,0,-1.75,,-1.2369791666666667,,3,,qwen,AsCo,0.0
40,cue_length_match_null,1,-1.8984375,,-1.2578125,,3,,qwen,AsCo,0.0
40,cue_length_match_null,2,1.8671875,,1.390625,,3,,qwen,AsCo,0.0
40,cue_length_match_null,3,1.953125,,1.0833333333333333,,3,,qwen,AsCo,0.0
40,cue_loss_aversion,0,-0.984375,,-0.875,,3,,qwen,AsCo,0.0
40,cue_loss_aversion,1,-1.1953125,,-1.125,,3,,qwen,AsCo,0.0
40,cue_loss_aversion,2,1.171875,,1.2604166666666667,,3,,qwen,AsCo,0.0
40,cue_loss_aversion,3,1.203125,,1.2708333333333333,,3,,qwen,AsCo,0.0
40,cue_maximin,0,-1.921875,,-1.9947916666666667,,3,,qwen,AsCo,0.0
40,cue_maximin,1,-2.21875,,-2.09375,,3,,qwen,AsCo,0.0
40,cue_maximin,2,1.84375,,1.8177083333333333,,3,,qwen,AsCo,0.0
40,cue_maximin,3,2.390625,,2.1614583333333335,,3,,qwen,AsCo,0.0
40,cue_risk_aversion,0,-1.46875,,-1.6458333333333333,,3,,qwen,AsCo,0.0
40,cue_risk_aversion,1,-1.671875,,-1.5859375,,3,,qwen,AsCo,0.0
40,cue_risk_aversion,2,1.5625,,1.6002604166666667,,3,,qwen,AsCo,0.0
40,cue_risk_aversion,3,1.671875,,1.5625,,3,,qwen,AsCo,0.0
40,cue_selfish_maximizer,0,-1.875,,-1.6614583333333333,,3,,qwen,AsCo,0.0
40,cue_selfish_maximizer,1,-1.96875,,-1.7916666666666667,,3,,qwen,AsCo,0.0
40,cue_selfish_maximizer,2,1.8984375,,1.4869791666666667,,3,,qwen,AsCo,0.0
40,cue_selfish_maximizer,3,2.21875,,1.6692708333333333,,3,,qwen,AsCo,0.0
79,baseline,0,0.6875,,0.4166666666666667,,3,,qwen,AsCo,0.0
79,baseline,1,1.375,,0.6875,,3,,qwen,AsCo,0.0
79,baseline,2,-1.125,,-0.4166666666666667,,3,,qwen,AsCo,0.0
79,baseline,3,-1.875,,-1.03125,,3,,qwen,AsCo,0.0
79,cue_inequity_aversion,0,2.6875,,1.0208333333333333,,3,,qwen,AsCo,0.0
79,cue_inequity_aversion,1,2.9375,,0.9375,,3,,qwen,AsCo,0.0
79,cue_inequity_aversion,2,-3.4375,,-1.3645833333333333,,3,,qwen,AsCo,0.0
79,cue_inequity_aversion,3,-3.4375,,-1.1458333333333333,,3,,qwen,AsCo,0.0
79,cue_length_match_null,0,0.375,,0.65625,,3,,qwen,AsCo,0.0
79,cue_length_match_null,1,1.5625,,0.90625,,3,,qwen,AsCo,0.0
79,cue_length_match_null,2,-0.375,,-0.4479166666666667,,3,,qwen,AsCo,0.0
79,cue_length_match_null,3,-1.5625,,-0.4791666666666667,,3,,qwen,AsCo,0.0
79,cue_loss_aversion,0,2.8125,,0.5885416666666666,,3,,qwen,AsCo,0.0
79,cue_loss_aversion,1,2.9375,,0.46875,,3,,qwen,AsCo,0.0
